swear_IT,swear_EN,year,n_sentences,n_tokens,tokens_per_sent,char_per_tok,lexical_density,avg_token_per_clause,bpm,centroid,rolloff,flux,rms,zcr,flatness,spectral_complexity,pitch,loudness,duration_ms,explicit,marco-zones
1,0,2019.0,29.0,351.0,12.10344827586207,3.8098859315589353,0.4524714828897338,10.028571428571428,148.91,0.1601,1930.9528,1.3687,0.2887,0.0732,0.8234,36.5686,2330.0121,33.3378,86666.0,1,Lazio
0,0,2019.0,46.0,383.0,8.326086956521738,4.207920792079208,0.5214521452145214,7.66,100.98,0.1457,2053.0542,1.3774,0.2146,0.0788,0.7329,34.3226,2324.8748,23.058,144098.0,1,Lazio
9,10,2022.0,104.0,939.0,9.028846153846152,3.8058252427184462,0.5228848821081831,8.165217391304347,125.22,0.1907,2043.8709,1.4048,0.3075,0.0791,0.8305,33.1551,2393.1104,36.3319,212920.0,1,Lazio
1,7,2019.0,61.0,454.0,7.442622950819672,3.537878787878788,0.4646464646464646,7.827586206896552,121.23,0.1644,2057.4703,1.3277,0.2224,0.0729,0.8482,33.8028,2311.5715,23.7735,171733.0,1,Lazio
0,0,2019.0,20.0,227.0,11.35,3.732984293193717,0.4712041884816754,7.566666666666666,128.03,0.1777,2310.4992,1.2328,0.2144,0.0857,0.8213,20.0506,2437.251,23.6946,118717.0,1,Lazio
0,0,2021.0,60.0,484.0,8.066666666666666,3.764705882352941,0.4705882352941176,8.491228070175438,128.41,0.1667,1840.3983,1.3733,0.2067,0.071,0.8632,19.9111,2045.8754,21.4039,112430.0,1,Lazio
0,0,2024.0,53.0,465.0,8.773584905660377,3.347938144329897,0.4587628865979381,12.916666666666666,104.94,0.1918,2271.2472,1.2309,0.2757,0.0932,0.7579,41.9462,1712.0589,31.1021,177433.0,0,Lazio
1,0,2062.0,68.0,713.0,10.485294117647058,3.692307692307693,0.4577861163227016,9.38157894736842,161.88,0.1495,1535.2227,1.1709,0.2333,0.0625,0.8287,25.4555,1996.0192,25.7252,182078.0,0,Lazio
0,0,2024.0,40.0,372.0,9.3,3.85,0.490625,6.0,95.01,0.1808,2217.8452,1.1374,0.2354,0.0895,0.7945,28.7612,1595.2637,25.6811,200842.0,0,Lazio
0,0,2022.0,64.0,479.0,7.484375,3.45945945945946,0.4127764127764127,6.746478873239437,126.25,0.1715,1910.0484,1.2332,0.2257,0.0757,0.8447,27.7575,1855.6863,24.2074,206494.0,0,Lazio
0,0,2022.0,59.0,485.0,8.220338983050848,3.315642458100559,0.4888268156424581,10.104166666666666,153.49,0.1697,1624.7712,1.1756,0.2333,0.0747,0.8992,28.1164,1890.9055,25.2278,159592.0,0,Lazio
2,3,2018.0,82.0,753.0,9.182926829268292,3.5391304347826087,0.4139130434782608,9.653846153846152,151.86,0.1438,1899.7059,1.2913,0.1552,0.0717,0.8164,29.8588,1685.9052,14.5735,182078.0,0,Lazio
2,0,2022.0,49.0,426.0,8.693877551020408,3.3523316062176165,0.466321243523316,4.391752577319588,161.63,0.168,1764.0955,1.4103,0.2774,0.0704,0.8797,29.443,2308.1682,31.2405,128266.0,1,Lazio
0,0,2022.0,59.0,667.0,11.305084745762713,3.7581818181818174,0.5018181818181818,5.091603053435114,126.98,0.2238,2799.3589,1.493,0.2282,0.1039,0.7537,18.8208,2384.9191,24.5556,176290.0,0,Lazio
0,0,2024.0,34.0,404.0,11.882352941176473,3.522911051212938,0.444743935309973,5.05,136.73,0.1845,2136.8971,1.1551,0.2738,0.0877,0.8733,31.5063,1667.3698,30.0561,172343.0,0,Lazio
0,0,2022.0,40.0,354.0,8.85,3.543046357615894,0.5165562913907285,5.205882352941177,123.56,0.148,1333.3621,1.1597,0.21,0.0643,0.9023,24.3003,1946.5725,21.8813,177433.0,0,Lazio
0,0,2022.0,36.0,313.0,8.694444444444445,3.636042402826855,0.4240282685512367,5.216666666666667,122.38,0.1838,1224.327,1.1065,0.2386,0.0677,0.8848,20.6004,1684.8782,25.5977,197786.0,0,Lazio
1,1,1903.0,75.0,565.0,7.533333333333333,4.075949367088608,0.5316455696202531,6.494252873563219,109.98,0.1406,1587.1567,1.6001,0.3077,0.0609,0.8557,32.5793,2902.8083,36.6539,184786.0,1,Lazio
0,0,2024.0,45.0,511.0,11.355555555555556,3.9615384615384617,0.5316742081447964,6.8133333333333335,142.03,0.1924,2420.5048,1.3107,0.2975,0.0941,0.7199,36.2632,1686.159,34.0347,160285.0,0,Lazio
